stock,ticker,info,market_cap,roce,roe,price_to_book,cons,recom
JSW Steel Ltd,JSWSTEEL,Largecap,160987,28.2,37.6,2,1,16
Life Insurance Corporation Of India,LICI,Largecap,376748,133.0,45.3,33,1,78
Petronet LNG Ltd,PETRONET,Midcap,31350,30.0,27.0,2,1,59
Muthoot Finance Ltd,MUTHOOTFIN,Midcap,41804,13.9,23.4,2,0,63
Devyani International Ltd,DEVYANI,Midcap,23342,16.0,42.8,34,1,83
Castrol India Ltd,CASTROLIND,Smallcap,N/A,N/A,N/A,0,0,50
ICICI Securities Ltd,ISEC,Smallcap,16472,27.0,65.0,6,1,60
Shyam Metalics and Energy Ltd,SHYAMMETL,Smallcap,7418,44.0,36.2,1,0,80
Jubilant Ingrevia Ltd,JUBLINGREA,Smallcap,8248,29.1,22.2,3,0,100
Chambal Fertilisers and Chemicals Ltd,CHAMBLFERT,Smallcap,13304,23.4,26.4,2,1,100
PCBL Ltd,PCBL,Smallcap,4884,18.2,18.4,1,1,100

